country,year,total_ai_jobs,avg_salary_usd,remote_percentage,top_skill
USA,2020,78050,109581,81,Python
USA,2021,5322,116022,30,Python
USA,2022,55204,157026,39,GCP
USA,2023,42906,139108,25,GCP
USA,2024,18847,103070,63,AWS
USA,2025,28264,157838,78,Computer Vision
USA,2026,49563,88686,29,Scikit-learn
India,2020,61572,141737,63,Python
India,2021,63718,160170,37,TensorFlow
India,2022,32285,155432,67,NLP
India,2023,23361,132495,31,PyTorch
India,2024,23453,107965,26,NLP
India,2025,24784,129592,26,PyTorch
India,2026,78139,97930,65,AWS
Germany,2020,30183,135985,69,Scikit-learn
Germany,2021,17048,108568,78,Azure
Germany,2022,31930,124738,63,GCP
Germany,2023,14857,130421,37,AWS
Germany,2024,48433,131697,40,Computer Vision
Germany,2025,61307,76942,79,Azure
Germany,2026,21320,150323,68,PyTorch
UK,2020,76091,88490,70,NLP
UK,2021,67009,138221,40,TensorFlow
UK,2022,39831,85227,84,PyTorch
UK,2023,37780,159436,69,Python
UK,2024,62826,133255,29,PyTorch
UK,2025,15927,140333,83,AWS
UK,2026,69344,77388,55,R
Canada,2020,27240,150343,74,R
Canada,2021,42282,78606,75,PyTorch
Canada,2022,29777,113169,73,SQL
Canada,2023,70396,108982,66,Scikit-learn
Canada,2024,72874,114911,71,R
Canada,2025,8294,99435,45,SQL
Canada,2026,4000,164795,54,PyTorch
Australia,2020,70178,160724,49,Azure
Australia,2021,50035,81059,30,Python
Australia,2022,19255,160260,26,R
Australia,2023,18251,134856,62,Scikit-learn
Australia,2024,23885,143568,71,SQL
Australia,2025,61354,144132,79,GCP
Australia,2026,57347,108156,71,GCP
